[14:15:42.697] === pyvideotrans Studio 启动 ===
[14:15:42.697] 系统: linux
[14:15:42.697] Python: 3.11.15
[14:15:42.697] 操作: 启动程序
[14:16:01.408] 操作: 播放/暂停
[14:16:27.415] 操作: 播放/暂停
[14:16:42.831] 操作: 播放/暂停
[14:17:03.831] 操作: 播放/暂停
[14:17:24.895] 操作: 播放/暂停
[14:18:35.367] 操作: 播放/暂停
[14:18:54.591] 操作: 播放/暂停
[14:19:16.710] 操作: 播放/暂停
[14:19:26.893] === 程序退出 ===

