[22:26:40.943] === pyvideotrans Studio 启动 ===
[22:26:40.943] 系统: linux
[22:26:40.943] Python: 3.11.15
[22:26:40.943] 操作: 启动程序
[22:26:52.580] 操作: 导入素材
[22:27:16.605] 操作: 播放/暂停
[22:27:21.909] 操作: 播放/暂停
[22:27:30.243] 操作: 播放/暂停
[22:27:30.787] 操作: 播放/暂停
[22:27:34.920] 操作: 播放/暂停
[22:27:37.388] 操作: 播放/暂停
[22:27:40.469] 操作: 分割素材
[22:27:41.908] 操作: 分割素材
[22:27:44.492] 操作: 分割素材
[22:27:44.493] 操作: 分割素材
[22:27:56.967] 操作: 播放/暂停
[22:28:01.448] 操作: 播放/暂停
[22:28:10.836] 操作: 分割素材
[22:28:10.837] 操作: 分割素材
[22:28:18.319] 操作: 播放/暂停
[22:28:21.406] 操作: 播放/暂停
[22:28:24.742] 操作: 播放/暂停
[22:28:31.201] 操作: 播放/暂停
[22:28:34.660] 操作: 分割素材
[22:28:34.660] 操作: 分割素材
[22:29:15.909] 操作: 播放/暂停
[22:29:40.401] 操作: 播放/暂停
[22:29:43.059] 操作: 分割素材
[22:29:43.060] 操作: 分割素材
[22:30:03.438] 操作: 播放/暂停
[22:30:32.461] 操作: 播放/暂停
[22:30:35.635] 操作: 分割素材
[22:30:35.636] 操作: 分割素材
[22:31:44.309] 操作: 播放/暂停
[22:31:46.387] 操作: 分割素材
[22:31:46.387] 操作: 分割素材
[22:32:06.066] 操作: 播放/暂停
[22:32:21.292] 操作: 播放/暂停
[22:32:24.131] 操作: 导入素材
[22:32:46.932] 操作: 播放/暂停
[22:32:52.229] 操作: 播放/暂停
[22:32:55.139] 操作: 分割素材
[22:32:55.139] 操作: 分割素材
[22:33:08.666] 操作: 播放/暂停
[22:33:16.679] 操作: 播放/暂停
[22:33:19.423] 操作: 播放/暂停
[22:33:21.630] 操作: 播放/暂停
[22:33:22.512] 操作: 播放/暂停
[22:33:27.640] 操作: 播放/暂停
[22:33:37.770] 操作: 分割素材
[22:33:37.770] 操作: 分割素材
[22:34:34.993] 操作: 播放/暂停
[22:36:40.698] === 程序退出 ===

