[13:37:48.899] === pyvideotrans Studio 启动 ===
[13:37:48.899] 系统: linux
[13:37:48.899] Python: 3.11.15
[13:37:48.899] 操作: 启动程序
[13:38:12.240] 操作: 播放/暂停
[13:38:21.696] 操作: 播放/暂停
[13:38:23.200] 操作: 播放/暂停
[13:38:36.208] 操作: 播放/暂停
[13:38:38.208] 操作: 播放/暂停
[13:38:39.664] 操作: 播放/暂停
[13:38:41.226] 操作: 播放/暂停
[13:38:42.424] 操作: 播放/暂停
[13:38:44.232] 操作: 播放/暂停
[13:38:46.224] 操作: 播放/暂停
[13:39:29.423] 操作: 播放/暂停
[13:39:29.983] 操作: 播放/暂停
[13:39:31.976] === 程序退出 ===

