[11:35:54.879] === pyvideotrans Studio 启动 ===
[11:35:54.879] 系统: linux
[11:35:54.880] Python: 3.11.15
[11:35:54.880] 操作: 启动程序
[11:35:56.468] 操作: 导入素材
[11:38:29.075] 操作: 导入素材
[11:38:37.027] 操作: 播放/暂停
[11:38:42.616] 操作: 播放/暂停
[11:38:44.399] 操作: 播放/暂停
[11:38:49.317] 操作: 播放/暂停
[11:38:53.152] 操作: 播放/暂停
[11:38:57.493] 操作: 播放/暂停
[11:39:03.212] 操作: 播放/暂停
[11:39:18.967] === 程序退出 ===

